Gd64         Dy66         Sm62        Er68   	 Yb70  	  Hf72
154 996    158 946   146 1647  162 900  168 984   174 900 
156 1154   160 966   148 1424  164 860  170 1138  176 1226
158 1187   162 888   150 1046  166 785  172 1117  178 1174
160 988    164 761   152 810   168 821  174 1633  180 1183
160 988    164 761   154 1177  170 934  176 1199  182 818
