1782 3400 0    9000
1826 2400 0    9000
1951 2300 1000 4500
2128 2300 860  1500
1973 780  210  280 
2102 1300 450  2000
2148 3300 1200 3700
2189 530  160  220 
2230 360  60   70  
2313 1200 290  620 
2324 1300 0    9000
2339 480  160  230 
2371 1700 0    9000
2386 710  190  260 
2395 14   11   13  
2412 1200 290  690 
2427 310  100  170 
2488 520  140  190 
2497 270  60   110 
2506 160  20   20  
2509 300  70   100 
2520 110  20   30 
2523 1100 500  2600
2537 460  120  160 
2554 350  120  230 
2569 90   20   30 
2614 100  20   30  
2631 110  20   30  
2656 210  100  300 
2778 180  70   140 
2803 90   60   110 
2814 200  60   130 
2818 550  220  370 


