1427 50 10 10
1464 50 5 5
1498 400 10000 0
1532 70 10000 0
1558 590 10000 0
1561 320 10000 0
1568 1000 1800 400
1586 500 10000 0
1599 800 730 300
1648 300 260 100
1653 60 20 15
1657 100 10000 0
1661 880 1600 360
1665 540 10000 0
1691 230 350 100
1782 350 10000 0
1805 300 10000 0
1931 760 1800 330
1966 37 8 7 
1969 830 10000 0
