  
   975.546     0.063    73.935     3.560      1.92         8  
   975.639     0.045   134.071     4.099      2.00         9  
   975.566     0.038   191.477     4.210      2.10        10  
   975.560     0.039   217.053     5.098      2.20        11  
   975.581     0.039   238.145     5.840      2.30        12  
   975.558     0.039   244.240     6.118      2.40        13  
   975.600     0.039   239.872     5.733      2.50        14  
   975.595     0.040   221.466     5.462      2.60        15  
   975.622     0.045   213.647     5.986      2.70        16  
   975.622     0.046   201.475     6.374      2.80        17  
   975.673     0.049   197.351     6.630      2.90        18  
   975.586     0.045   192.193     5.464      3.00        19  
   975.654     0.049   192.611     6.496      3.10        20  
