  2721.183     0.522   310.095   103.365     40.00         1-     2720.799     0.242     1.087     1.087    40.000         1 -
  2720.599     0.563   308.119    86.074     47.00         2-     2720.143     0.323     1.454     1.454    47.000         2 -
  2721.404     0.518   319.933    69.277     55.00         3-     2720.927     0.235     1.051     1.051    55.000         3 -
  2721.510     0.549   425.202    57.615     62.00         4-     2721.060     0.297     1.335     1.335    62.000         4 -
  2721.405     0.512   207.478    47.790     75.00         5-     2720.900     0.221     0.989     0.989    75.000         5 -
  2720.781     0.654   270.665    60.872     90.00         6-     2720.334     0.462     2.095     2.095    90.000         6 -
  2721.115     0.497   347.112    61.092    102.00         7-     2720.720     0.181     0.808     0.808   102.000         7 -
  2719.876     0.510   284.687    39.358    125.00         8-     2719.389     0.222     0.995     0.995   125.000         8 -
  2719.725     0.579   237.617    53.369    140.00         9-     2719.312     0.353     1.595     1.595   140.000         9 -
  2719.886     0.585   257.464    53.532    150.00        10-     2719.473     0.361     1.634     1.634   150.000        10 -
