265  10000 0 0
548  10000 0 0
888  2842 130 130
1148 10000 0 0
1275 28.8 6 6   
1485 10000 0 0
2394 16 10 10 
2520 11 9 9
2537 14 30 30
2569 56 6 6
2815 56 19 19
