   937.179     0.105     0.504     0.504    40.000         1
   937.228     0.094     0.455     0.455    47.000         2
   937.302     0.073     0.350     0.350    55.000         3
   937.297     0.067     0.318     0.318    62.000         4
   937.167     0.074     0.355     0.355    75.000         5
   937.220     0.094     0.455     0.455    90.000         6
   937.262     0.099     0.476     0.476   102.000         7
   937.266     0.089     0.429     0.429   125.000         8
   937.099     0.085     0.409     0.409   140.000         9
   937.185     0.075     0.358     0.358   150.000        10
     0.000     0.000     0.000     0.000     0.000         0
 937.223 0.026 0.134 0.115 0.753   0.111E+04  0.609E+04  -570. 
