  1010.222     0.053  4575.758     0.227     40.00         1 -
  1010.354     0.040  4576.296     0.160     47.00         2 -
  1010.223     0.042  4575.178     0.176     55.00         3 -
  1010.221     0.039  4575.229     0.159     62.00         4 -
  1010.211     0.035  4575.599     0.133     75.00         5 -
  1010.131     0.036  4575.053     0.146     90.00         6 -
  1010.170     0.040  4575.582     0.164    102.00         7 -
  1010.124     0.032  4574.955     0.129    125.00         8 -
  1010.191     0.033  4574.748     0.136    140.00         9 -
  1010.077     0.047  4574.714     0.202    150.00        10 -
