  2046.896     0.059  1999.273    83.524     40.00         1-     2047.523     0.057     0.238     0.238    40.000         1
  2047.032     0.059  1837.434    77.826     47.00         2-     2047.624     0.058     0.238     0.238    47.000         2
  2046.839     0.062  1936.294    87.176     55.00         3-     2047.471     0.061     0.255     0.255    55.000         3
  2046.801     0.053  1735.473    68.520     62.00         4-     2047.421     0.052     0.210     0.210    62.000         4
  2046.995     0.047  1844.236    56.816     75.00         5-     2047.504     0.048     0.178     0.178    75.000         5
  2046.884     0.053  2051.743    73.125     90.00         6-     2047.496     0.053     0.209     0.209    90.000         6
  2046.884     0.051  2106.440    77.164    102.00         7-     2047.493     0.055     0.197     0.197   102.000         7
  2046.811     0.050  1933.145    67.807    125.00         8-     2047.412     0.056     0.194     0.194   125.000         8
  2046.809     0.057  1844.054    75.596    140.00         9-     2047.470     0.061     0.230     0.230   140.000         9
  2046.884     0.055  1959.194    74.589    150.00        10-     2047.371     0.055     0.218     0.218   150.000        10
                                                                
