Gd64         Dy66         Sm62        Er68   	 Yb70  	  Hf72
154 5.7    158 5.9   146 7.4  162 6.2  168 5.0  174 2.0 
156 4.7    160 4.5   148 31   164 5.2  170 2.7  176 1.0
158 3.4    162 4.6   150 57   166 5.2  172 2.5  178 3.9
160 3.8    164 4.0   152 1    168 4.7  174 2.5  178 3.9
160 3.8    164 4.0   154 0.6  170 1.4  174 2.5  178 3.9
