 1.00000E-03 9.94304E-01
 1.15000E-03 9.93454E-01
 1.26000E-03 9.92831E-01
 1.40000E-03 9.92040E-01
 1.58000E-03 9.91024E-01
 1.74000E-03 9.90122E-01
 2.00000E-03 9.88661E-01
 2.26000E-03 9.87202E-01
 2.51000E-03 9.85804E-01
 2.78000E-03 9.84297E-01
 3.16000E-03 9.82184E-01
 3.59000E-03 9.79801E-01
 3.98000E-03 9.77649E-01
 4.45000E-03 9.75067E-01
 5.01000E-03 9.72005E-01
 5.55000E-03 9.69069E-01
 6.31000E-03 9.64963E-01
 6.74000E-03 9.62653E-01
 7.00000E-03 9.61261E-01
 7.55000E-03 9.58328E-01
 7.94000E-03 9.56257E-01
 8.50000E-03 9.53298E-01
 1.00000E-02 9.45450E-01
 1.15400E-02 9.37511E-01
 1.25900E-02 9.32164E-01
 1.46000E-02 9.22079E-01
 1.58500E-02 9.15904E-01
 1.99500E-02 8.96156E-01
 2.51200E-02 8.72315E-01
 3.16200E-02 8.43917E-01
 3.98100E-02 8.10444E-01
 5.01200E-02 7.71621E-01
 6.31000E-02 7.27392E-01
 6.94000E-02 7.07590E-01
 7.00000E-02 7.05757E-01
 7.94300E-02 6.78076E-01
 8.55400E-02 6.61210E-01
 9.81400E-02 6.28830E-01
 1.00000E-01 6.24304E-01
 1.07584E-01 6.06479E-01
 1.07890E-01 6.05779E-01
 1.15440E-01 5.89013E-01
 1.23691E-01 5.71682E-01
 1.24000E-01 5.71052E-01
 1.25890E-01 5.67227E-01
 1.38870E-01 5.42241E-01
 1.58490E-01 5.08279E-01
 1.78350E-01 4.77875E-01
 1.99530E-01 4.49138E-01
 2.24110E-01 4.19764E-01
 2.51190E-01 3.91488E-01
 2.78880E-01 3.66212E-01
 3.27800E-01 3.28644E-01
 3.98110E-01 2.86325E-01
 4.08000E-01 2.81225E-01
 5.01190E-01 2.40770E-01
 6.30960E-01 2.00532E-01
 7.94330E-01 1.65640E-01
 1.00000E+00 1.35856E-01
 1.25893E+00 1.10766E-01
 1.45453E+00 9.72014E-02
 2.51189E+00 5.84754E-02
 3.16228E+00 4.69638E-02
 3.81404E+00 3.92252E-02
 3.98107E+00 3.76358E-02
 5.01187E+00 3.01071E-02
 6.30957E+00 2.40502E-02
 7.94328E+00 1.91899E-02
 1.00000E+01 1.52979E-02
