Gd64      Dy66    Sm62    Er68     Yb70      Hf72
154 52    160 2   150 53  166 2.7  172 3.6  1781.5 
156 8     160 2   150 53  166 2.7  172 3.6  178 1.5
158 1.1   160 2   150 53  166 2.7  172 3.6  178 1.5
160 3.1   160 2   152 33  168 8    174 1.4  178 1.5
160 3.1   162 1.9 154 12  168 8    174 1.4  178 1.5
