  1219.974     0.109    31.505     3.171      1.77         6  
  1220.105     0.083    54.818     3.092      1.85         7  
  1220.121     0.067    74.470     3.894      1.92         8  
  1220.029     0.066    79.845     4.132      2.00         9  
  1219.901     0.056    98.065     4.073      2.10        10  
  1220.156     0.101   106.627     7.914      2.20        11  
  1219.949     0.069   124.046     5.079      2.30        12  
  1219.993     0.070   157.380     7.058      2.40        13  
  1219.952     0.085   185.227     9.307      2.50        14  
  1219.727     0.084   196.963    11.530      2.60        15  
  1219.924     0.092   200.539    11.205      2.70        16  
  1219.876     0.084   237.216    12.752      2.80        17  
  1219.967     0.071   235.830    10.790      2.90        18  
  1219.943     0.073   250.897    12.024      3.00        19  
  1219.980     0.071   283.189    13.542      3.10        20  
