988  1800 10000 0 1876 87 87
1057 2200 10000 0
1070 1200 200 0
1148 1080 730 320
1224 20 2 2 21.6 6.0 6.0
1261 350 120 80
1289 34 3 3 74 20 20
1351 180 20 20
1376 550 3000 0
1379 1350 10000 0
1427 50 10 10
1436 340 10000 0
1464 50 5 5
1498 400 10000 0
1532 70 10000 0
1558 590 10000 0
1561 320 10000 0
1568 1000 1800 400
1586 500 10000 0
1599 800 730 300
1648 300 260 100
1653 60 20 15
1657 100 10000 0
1661 880 1600 360
1665 540 10000 0
1691 230 350 100
1782 350 10000 0
1805 300 10000 0
1931 760 1800 930
1966 37 8 7 19 7 7
1969 830 10000 0
2060 230 90 50
2109 330 120 70
2135 420 880 180
