  2417.402     0.170   746.275    67.232     40.00         1-     2417.702     0.124     0.556     0.556    40.000         1-
  2417.356     0.171   601.863    56.733     47.00         2-     2417.603     0.126     0.561     0.561    47.000         2-
  2417.116     0.149   762.110    53.547     55.00         3-     2417.378     0.095     0.418     0.418    55.000         3-
  2417.046     0.164   561.640    50.126     62.00         4-     2417.309     0.117     0.520     0.520    62.000         4-
  2417.104     0.158   645.349    53.011     75.00         5-     2417.274     0.109     0.481     0.481    75.000         5-
  2417.107     0.162   641.631    55.887     90.00         6-     2417.369     0.114     0.506     0.506    90.000         6-
  2416.809     0.162   733.081    63.149    102.00         7-     2417.106     0.115     0.505     0.505   102.000         7-
  2416.726     0.160   709.616    58.378    125.00         8-     2416.968     0.113     0.494     0.494   125.000         8-
  2416.588     0.190   679.797    66.597    140.00         9-     2416.896     0.152     0.678     0.678   140.000         9-
  2416.578     0.166   729.787    63.021    150.00        10-     2416.775     0.120     0.533     0.533   150.000        10-
