Gd64         Dy66         Sm62        Er68   	 Yb70  	  Hf72
154 680    158 990    146 2211  162 1087  168 1155  174 828 
156 1049   160 1279   148 1424  164 1246  170 1069  176 1149
158 1196   162 1400   150 740   166 1460  172 1042  178 1199
160 1379   164 1655   152 684   168 1217  174 1487  180 1101
160 1379   164 1655   154 1177  170 890   176 1138  182 1034
