  2575.312     0.482   220.485    54.107     40.00         1-     2575.254     0.411     1.864     1.864    40.000         1-
  2576.178     0.691   429.292   176.183     47.00         2-     2576.054     0.642     2.916     2.916    47.000         2-
  2576.026     0.701   340.749   154.089     55.00         3-     2575.901     0.653     2.966     2.966    55.000         3-
  2575.771     0.554   340.378   108.875     62.00         4-     2575.661     0.493     2.238     2.238    62.000         4-
  2575.629     0.540   230.699    63.761     75.00         5-     2575.446     0.477     2.165     2.165    75.000         5-
  2575.514     0.581   388.134   114.602     90.00         6-     2575.405     0.523     2.374     2.374    90.000         6-
  2575.558     0.381   367.340    62.144    102.00         7-     2575.490     0.286     1.294     1.294   102.000         7-
  2574.256     0.483   240.101    54.806    125.00         8-     2574.116     0.412     1.870     1.870   125.000         8-
  2574.990     0.482   356.432    88.476    140.00         9-     2574.918     0.411     1.863     1.863   140.000         9-
  2574.994     0.345   445.005    68.462    150.00        10-     2574.864     0.237     1.068     1.068   150.000        10-
