   260.180     0.016     0.060     0.060    40.000         1
   260.160     0.012     0.041     0.041    47.000         2
   260.165     0.012     0.039     0.039    55.000         3
   260.165     0.011     0.036     0.036    62.000         4
   260.144     0.012     0.048     0.048    75.000         5
   260.182     0.014     0.060     0.060    90.000         6
   260.152     0.013     0.050     0.050   102.000         7
   260.159     0.011     0.045     0.045   125.000         8
   260.149     0.010     0.038     0.038   140.000         9
   260.155     0.011     0.040     0.040   150.000        10
